"","date","larves","inflos","Bloc","Sol"
"1",2017-07-19,20.8,350,"Bloc 1","ER"
"2",2017-07-20,20.8,450.1,"Bloc 1","ER"
"3",2017-07-21,20.8,550.2,"Bloc 1","ER"
"4",2017-07-22,20.8,650.3,"Bloc 1","ER"
"5",2017-07-23,20.8,750.4,"Bloc 1","ER"
"6",2017-07-24,20.8,850.5,"Bloc 1","ER"
"7",2017-07-25,20.8,950.6,"Bloc 1","ER"
"8",2017-07-26,63.2333333333333,969.5,"Bloc 1","ER"
"9",2017-07-27,63.2333333333333,988.4,"Bloc 1","ER"
"10",2017-07-28,63.2333333333333,1007.3,"Bloc 1","ER"
"11",2017-07-29,63.2333333333333,1026.2,"Bloc 1","ER"
"12",2017-07-30,63.2333333333333,1045.1,"Bloc 1","ER"
"13",2017-07-31,63.2333333333333,1064,"Bloc 1","ER"
"14",2017-08-01,63.2333333333333,1082.9,"Bloc 1","ER"
"15",2017-08-02,213.929545454545,1174.6,"Bloc 1","ER"
"16",2017-08-03,213.929545454545,1266.3,"Bloc 1","ER"
"17",2017-08-04,213.929545454545,1358,"Bloc 1","ER"
"18",2017-08-05,213.929545454545,1449.7,"Bloc 1","ER"
"19",2017-08-06,213.929545454545,1541.4,"Bloc 1","ER"
"20",2017-08-07,213.929545454545,1633.1,"Bloc 1","ER"
"21",2017-08-08,213.929545454545,1724.8,"Bloc 1","ER"
"22",2017-08-09,916.905208333333,1827.0875,"Bloc 1","ER"
"23",2017-08-10,916.905208333333,1929.375,"Bloc 1","ER"
"24",2017-08-11,916.905208333333,2031.6625,"Bloc 1","ER"
"25",2017-08-12,916.905208333333,2133.95,"Bloc 1","ER"
"26",2017-08-13,916.905208333333,2236.2375,"Bloc 1","ER"
"27",2017-08-14,916.905208333333,2338.525,"Bloc 1","ER"
"28",2017-08-15,916.905208333333,2440.8125,"Bloc 1","ER"
"29",2017-08-16,916.905208333333,2543.1,"Bloc 1","ER"
"30",2017-08-17,1400.50811403509,2582.3,"Bloc 1","ER"
"31",2017-08-18,1400.50811403509,2621.5,"Bloc 1","ER"
"32",2017-08-19,1172.24333333333,2467.64,"Bloc 1","ER"
"33",2017-08-20,1172.24333333333,2313.78,"Bloc 1","ER"
"34",2017-08-21,1172.24333333333,2159.92,"Bloc 1","ER"
"35",2017-08-22,1172.24333333333,2006.06,"Bloc 1","ER"
"36",2017-08-23,1172.24333333333,1852.2,"Bloc 1","ER"
"37",2017-08-24,606.4625,1766.45,"Bloc 1","ER"
"38",2017-08-25,606.4625,1680.7,"Bloc 1","ER"
"39",2017-08-26,247.154444444444,1732.15,"Bloc 1","ER"
"40",2017-08-27,247.154444444444,1783.6,"Bloc 1","ER"
"41",2017-08-28,247.154444444444,1835.05,"Bloc 1","ER"
"42",2017-08-29,247.154444444444,1886.5,"Bloc 1","ER"
"43",2017-08-30,161.912592592593,1724.8,"Bloc 1","ER"
"44",2017-08-31,161.912592592593,1563.1,"Bloc 1","ER"
"45",2017-09-01,161.912592592593,1401.4,"Bloc 1","ER"
"46",2017-09-02,1362.025,1345.54,"Bloc 1","ER"
"47",2017-09-03,1362.025,1289.68,"Bloc 1","ER"
"48",2017-09-04,1362.025,1233.82,"Bloc 1","ER"
"49",2017-09-05,1362.025,1177.96,"Bloc 1","ER"
"50",2017-09-06,1362.025,1122.1,"Bloc 1","ER"
"51",2017-09-07,817.741944444445,1168.65,"Bloc 1","ER"
"52",2017-09-08,817.741944444445,1215.2,"Bloc 1","ER"
"53",2017-09-09,851.134666666667,1278.9,"Bloc 1","ER"
"54",2017-09-10,851.134666666667,1342.6,"Bloc 1","ER"
"55",2017-09-11,851.134666666667,1406.3,"Bloc 1","ER"
"56",2017-09-12,851.134666666667,1470,"Bloc 1","ER"
"57",2017-09-13,851.134666666667,1533.7,"Bloc 1","ER"
"58",2017-09-14,1321.83253787879,1555.75,"Bloc 1","ER"
"59",2017-09-15,1321.83253787879,1577.8,"Bloc 1","ER"
"60",2017-09-16,2593.99,1563.1,"Bloc 1","ER"
"61",2017-09-17,2593.99,1548.4,"Bloc 1","ER"
"62",2017-09-18,2593.99,1533.7,"Bloc 1","ER"
"63",2017-09-19,2593.99,1519,"Bloc 1","ER"
"64",2017-09-20,2593.99,1504.3,"Bloc 1","ER"
"65",2017-09-21,1123.24333333333,1207.85,"Bloc 1","ER"
"66",2017-09-22,1123.24333333333,911.4,"Bloc 1","ER"
"67",2017-09-23,505.341666666667,1027.775,"Bloc 1","ER"
"68",2017-09-24,505.341666666667,1144.15,"Bloc 1","ER"
"69",2017-09-25,505.341666666667,1260.525,"Bloc 1","ER"
"70",2017-09-26,505.341666666667,1376.9,"Bloc 1","ER"
"71",2017-09-27,37.5666666666667,1259.3,"Bloc 1","ER"
"72",2017-09-28,37.5666666666667,1141.7,"Bloc 1","ER"
"73",2017-09-29,37.5666666666667,1024.1,"Bloc 1","ER"
"74",2017-09-30,28.5833333333333,959.175,"Bloc 1","ER"
"75",2017-10-01,28.5833333333333,894.25,"Bloc 1","ER"
"76",2017-10-02,28.5833333333333,829.325,"Bloc 1","ER"
"77",2017-10-03,28.5833333333333,764.4,"Bloc 1","ER"
"78",2017-10-04,11.76,592.9,"Bloc 1","ER"
"79",2017-10-05,11.76,421.4,"Bloc 1","ER"
"80",2017-10-06,11.76,249.9,"Bloc 1","ER"
"81",2017-07-19,16.530612244898,231.428571428571,"Bloc 1","PS"
"82",2017-07-20,16.530612244898,260.357142857143,"Bloc 1","PS"
"83",2017-07-21,16.530612244898,289.285714285714,"Bloc 1","PS"
"84",2017-07-22,16.530612244898,318.214285714286,"Bloc 1","PS"
"85",2017-07-23,16.530612244898,347.142857142857,"Bloc 1","PS"
"86",2017-07-24,16.530612244898,376.071428571429,"Bloc 1","PS"
"87",2017-07-25,16.530612244898,405,"Bloc 1","PS"
"88",2017-07-26,21.4285714285714,411.428571428571,"Bloc 1","PS"
"89",2017-07-27,21.4285714285714,417.857142857143,"Bloc 1","PS"
"90",2017-07-28,21.4285714285714,424.285714285714,"Bloc 1","PS"
"91",2017-07-29,21.4285714285714,430.714285714286,"Bloc 1","PS"
"92",2017-07-30,21.4285714285714,437.142857142857,"Bloc 1","PS"
"93",2017-07-31,21.4285714285714,443.571428571429,"Bloc 1","PS"
"94",2017-08-01,21.4285714285714,450,"Bloc 1","PS"
"95",2017-08-02,0,482.142857142857,"Bloc 1","PS"
"96",2017-08-03,0,514.285714285714,"Bloc 1","PS"
"97",2017-08-04,0,546.428571428571,"Bloc 1","PS"
"98",2017-08-05,0,578.571428571429,"Bloc 1","PS"
"99",2017-08-06,0,610.714285714286,"Bloc 1","PS"
"100",2017-08-07,0,642.857142857143,"Bloc 1","PS"
"101",2017-08-08,0,675,"Bloc 1","PS"
"102",2017-08-09,80.15625,658.125,"Bloc 1","PS"
"103",2017-08-10,80.15625,641.25,"Bloc 1","PS"
"104",2017-08-11,80.15625,624.375,"Bloc 1","PS"
"105",2017-08-12,80.15625,607.5,"Bloc 1","PS"
"106",2017-08-13,80.15625,590.625,"Bloc 1","PS"
"107",2017-08-14,80.15625,573.75,"Bloc 1","PS"
"108",2017-08-15,80.15625,556.875,"Bloc 1","PS"
